country,product,value_max,value_min,value_mean,value_median,value_std,annual_change_mean,annual_change_median,annual_change_std,3_year_avg_mean
Czech Republic,Liquified Petroleum Gas,427.0,31.0,165.0,37.0,226.91848756767263,-26.40726133473882,-5.836575875486383,58.81054894070611,584.6373888888888
Czech Republic,Middle distillates,1011.0,65.0,761.25,984.5,464.34353302987506,-2.3308874499322756,-3.2725389498889426,4.330245017210199,844.1753958333333
Czech Republic,Naphtha,1014.0,80.0,396.3333333333333,95.0,534.9676002650378,-26.399009841467194,-5.836575875486383,58.220445839625874,661.7484999999999
Czech Republic,Other oil products,1280.5,52.0,470.5,79.0,701.6104688500593,-44.61477533754868,-34.17721518987342,44.9159348634719,686.4707222222222
Czech Republic,Residual fuel oil,61.0,2.0,24.857142857142858,32.0,22.04108717394684,-17.13400090214053,-5.836575875486383,34.06589582072754,575.6591071428571
Czech Republic,Total gas oil production,1556.5,12.0,442.35714285714283,411.0,520.4208804968752,-14.29092932628623,-5.836575875486383,34.49720144438413,714.3495833333333
Czech Republic,Total kerosene production,222.0,17.0,89.0,28.0,115.31261856362468,-11.157678621629188,-5.836575875486383,78.65921319725568,559.3040555555555
Czech Republic,Total oil production,2876.0,62.0,2146.125,2823.25,1389.7327305996646,-2.275863241363779,-2.3379150921575387,4.112805259539883,1306.0503958333334
Czech Republic,Total oil products production,9720.0,92.0,2301.285714285714,1577.0,3323.1074169761505,-15.37083421532214,-5.836575875486383,34.13149402081005,1330.1829166666666
Denmark,Crude oil,3212.5,24.0,773.0,515.0,1096.0020909347452,-18.170529632027726,-5.836575875486383,32.73906626344468,823.9924404761904
Denmark,Gasoline and diesel,3691.0,283.0,1432.3333333333333,323.0,1956.1649555529139,-36.489820273150336,-12.383900928792569,47.535685296759645,1007.0818333333333
Denmark,Liquified Petroleum Gas,63.0,6.0,25.0,6.0,32.90896534380867,-32.10425545055896,-5.836575875486383,50.63574333872259,537.9707222222222
Denmark,Middle distillates,1526.0,29.0,1127.5,1477.5,732.9631641494681,-3.271141752194967,-5.310162118608197,4.456704365371925,969.2587291666666
Denmark,Naphtha,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,529.6373888888888
Denmark,Other oil products,403.0,13.0,147.66666666666666,27.0,221.23592233932837,-50.329558622098695,-51.85185185185186,43.751703097833804,578.8596111111111
Denmark,Residual fuel oil,725.0,6.0,244.64285714285714,57.5,297.5148055539581,-20.321509820623106,-5.836575875486383,39.05539494082279,648.6829166666666
Denmark,Total gas oil production,1278.0,5.0,368.2142857142857,353.0,427.57103280652456,-16.052160792466278,-5.836575875486383,33.446077721494355,689.968630952381
Denmark,Total kerosene production,613.5,64.0,251.5,77.0,313.56857304264406,-25.030709345075195,-5.836575875486383,57.39986938546623,613.4707222222222
Denmark,Total oil production,3151.0,68.0,2279.625,2949.75,1480.6437437254558,-4.7850119673543885,-5.836575875486383,5.382341740775483,1350.0503958333334
Denmark,Total oil products production,6106.0,44.0,2077.714285714286,2316.0,2070.5471671586165,-17.515795741561362,-5.836575875486383,32.86619715642186,1257.9448214285712
Estonia,Crude oil,110.0,0.0,42.357142857142854,33.0,45.79366248521212,1.7088431096213184,-5.836575875486383,27.659401172311288,580.0162499999999
Estonia,Gasoline and diesel,771.0,61.0,299.6666666666667,67.0,408.1976645368434,-35.3672622619716,-8.955223880597018,48.47290822907503,629.5262777777778
Estonia,Liquified Petroleum Gas,14.0,1.0,5.333333333333333,1.0,7.505553499465135,-32.89790624420975,-5.836575875486383,52.00816230066057,531.4151666666666
Estonia,Middle distillates,186.0,17.0,132.125,162.75,77.54178980824899,-3.0110257878592144,-5.836575875486383,11.304060781599832,638.4670624999999
Estonia,Naphtha,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,529.6373888888888
Estonia,Other oil products,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,529.6373888888888
Estonia,Residual fuel oil,73.0,0.0,35.285714285714285,26.0,34.155108381784245,-20.98147927316384,-5.836575875486383,30.28799568162461,579.2305357142857
Estonia,Total gas oil production,204.0,0.0,70.64285714285714,84.0,70.09203133839722,-16.068277267252707,-5.836575875486383,33.693287507495675,591.0162499999999
Estonia,Total kerosene production,52.5,4.0,20.833333333333332,6.0,27.442363843760496,-42.580445926749434,-33.333333333333336,42.13544566207054,536.5818333333333
Estonia,Total oil production,453.0,50.0,324.625,397.75,184.9762935261345,-1.8241666514845625,-5.836575875486383,11.75074046048332,699.8837291666666
Estonia,Total oil products production,1067.5,17.0,321.5,317.0,355.08531838606524,-17.43097144422411,-5.836575875486383,32.855824557775094,673.8257738095238
Finland,Crude oil,1619.5,0.0,641.2142857142857,85.0,785.5481025555159,-7.959354225686389,-5.836575875486383,7.4121293150393015,777.1591071428571
Finland,Gasoline and diesel,4219.5,315.0,1644.1666666666667,398.0,2230.690158523441,-39.086150009603394,-20.854271356783915,45.212141955258254,1077.6929444444443
Finland,Liquified Petroleum Gas,1018.5,73.0,388.1666666666667,73.0,545.8846795187911,-32.8897242772649,-5.836575875486383,51.99401305198112,659.0262777777778
Finland,Middle distillates,2447.0,-67.0,1698.625,2207.25,1187.6420178235528,-5.634248369330408,-5.836575875486383,8.080951430844577,1167.6337291666666
Finland,Naphtha,16.5,0.0,5.5,0.0,9.526279441628825,-37.224383916990924,-5.836575875486383,54.36527826610484,531.4707222222222
Finland,Other oil products,177.0,4.0,62.666666666666664,7.0,99.02693236354105,-48.246305490914075,-42.85714285714286,45.3451339186326,550.5262777777778
Finland,Residual fuel oil,437.0,-3.0,193.78571428571428,152.0,180.84704797674956,-21.54879237901531,-5.836575875486383,38.3280084926788,632.206726190476
Finland,Total gas oil production,1301.0,-6.0,344.7142857142857,293.0,439.5356315801614,-14.464071654863227,-5.836575875486383,34.50914917210045,682.6591071428571
Finland,Total kerosene production,455.5,56.0,192.5,66.0,227.81955578922543,-25.22841693366665,-5.836575875486383,55.388783065520116,593.8040555555555
Finland,Total oil production,4963.0,-45.0,3445.125,4431.25,2367.166392370141,-7.303872749686444,-5.836575875486383,8.925868624564224,1747.9670625
Finland,Total oil products production,7625.0,-130.0,2598.714285714286,2797.0,2629.163537089678,-18.863884045649623,-5.836575875486383,32.51197122897343,1439.8972023809524
France,Crude oil,7029.0,66.0,3183.785714285714,880.5,3573.1573789523886,-9.434786111478099,-5.836575875486383,40.49357986622315,1615.9686309523809
France,Gasoline and diesel,41446.0,3137.0,15990.666666666666,3389.0,22045.325407744233,-35.031830921177736,-7.435821776335205,49.189177296760185,5859.859611111111
France,Liquified Petroleum Gas,3268.5,207.0,1254.5,288.0,1744.6453077918159,-20.12432024497178,-5.836575875486383,67.54170878099607,947.8040555555555
France,Middle distillates,10656.5,48.0,7867.125,10382.0,5215.992113602806,-3.945772621561111,-4.436026507274588,2.3254633058005796,3214.2170625
France,Naphtha,4935.5,295.0,1845.5,306.0,2676.0241497415527,-32.043552555393184,-5.836575875486383,53.888341677025416,1144.8040555555556
France,Other oil products,5164.5,192.0,1881.1666666666667,287.0,2843.8467932245107,-44.460150678736575,-33.10104529616724,45.38214475006935,1156.6929444444443
France,Residual fuel oil,888.0,-18.0,345.5,423.0,326.3567832909253,-22.148072274864717,-5.836575875486383,34.087998049651304,683.4924404761904
France,Total gas oil production,8884.0,-248.0,2185.5,1582.0,3034.9048722049483,-14.478222009213313,-5.836575875486383,34.137750006336056,1307.7781547619047
France,Total kerosene production,4983.5,553.0,2050.5,615.0,2540.2416715737895,-27.84279459880584,-5.836575875486383,53.562638753497495,1213.1373888888888
France,Total oil production,20175.0,94.0,15087.5,20040.5,9996.46205748147,-3.2491428949070644,-3.582476289663883,3.0368913344865853,5617.175395833333
France,Total oil products production,69570.0,-174.0,17106.285714285714,12879.0,23689.875908738497,-16.552063408176117,-5.836575875486383,33.28513552196072,6277.849583333334
Germany,Crude oil,20215.924,-67.827,9076.040642857142,3001.1035,10306.774010861243,-16.20904726210745,-5.836575875486383,33.46666172661416,3596.0453690476193
Germany,Gasoline and diesel,47506.2065,3976.898,18553.226166666667,4176.574,25074.215247202337,-33.94193117384126,-5.836575875486383,49.596992418346595,6714.046111111111
Germany,Liquified Petroleum Gas,3345.5985,216.074,1268.4288333333334,243.614,1798.9344015249926,-36.61990600185052,-11.304769019842864,48.65957041526157,952.447
Germany,Middle distillates,9713.968,598.982,7328.365375000001,9500.25575,4488.996826983236,-3.675006384649282,-4.776210467444752,3.076292904920594,2988.7153541666667
Germany,Naphtha,12680.725999999999,797.021,4759.254333333333,800.016,6860.195862135302,-33.30067672009909,-5.836575875486383,52.370890289758385,2116.0555
Germany,Other oil products,4200.433,187.527,1542.7836666666665,240.391,2301.743607539583,-40.70147019175631,-21.990839923291638,47.095569724005664,1043.898611111111
Germany,Residual fuel oil,2064.7045,14.862,923.2205,1331.782,811.6469105690294,-8.406380016075769,-5.836575875486383,42.42957586686948,874.5010833333333
Germany,Total gas oil production,15612.183,59.683,3947.2947142857147,2918.731,5281.937309059834,-15.405606057077819,-5.836575875486383,34.51812332111425,1880.391488095238
Germany,Total kerosene production,7623.9605,732.66,3058.010166666667,817.41,3954.4560277584437,-35.161032332282325,-10.368113920798617,46.92175834556349,1548.9741111111114
Germany,Total oil production,35873.935,671.66,26757.416374999997,35242.03525,17398.959956717074,-3.691878712402019,-4.572716145855848,2.863907607841467,9459.0091875
Germany,Total oil products production,93033.812,739.487,22151.9735,14966.045,31746.825765920414,-16.533095144717706,-5.836575875486383,33.281369432970486,7916.246130952381
Greece,Crude oil,1665.244,0.0,653.3076428571429,29.377,818.2803837525536,-21.507969416373154,-5.836575875486383,35.69498644316384,785.2378452380952
Greece,Gasoline and diesel,4341.023499999999,439.0,1765.6071666666664,516.798,2230.7151543173504,-36.328482076719816,-15.053850827596083,45.0673977403302,1118.173111111111
Greece,Liquified Petroleum Gas,523.935,47.0,206.56033333333332,48.746,274.8559102699691,-33.371527458233636,-5.836575875486383,49.657399300595586,598.4908333333333
Greece,Middle distillates,1169.736,0.0,861.6755,1138.4830000000002,574.8115492376611,-2.13667943179362,-3.5173974804092345,4.830734706521866,883.0672291666666
Greece,Naphtha,20.097,2.0,8.859,4.48,9.811069411639082,-46.3006114572598,-55.35714285714286,36.78172274034722,532.5903888888888
Greece,Other oil products,879.7965,67.444,343.0801666666667,82.0,464.8669553045079,-25.52945414470403,-5.836575875486383,59.45669470906321,643.9974444444443
Greece,Residual fuel oil,1287.7925,0.0,496.7926428571428,642.2719999999999,463.70268029046326,-15.091425381350623,-5.836575875486383,34.56281141040895,733.0661785714285
Greece,Total gas oil production,2055.741,0.0,533.7231428571429,390.50199999999995,692.2330976158318,-13.084307216448668,-5.836575875486383,35.28825981736659,745.3763452380952
Greece,Total kerosene production,1192.3745,51.408,434.5941666666666,60.0,656.271080275585,-28.270608911885347,-5.836575875486383,59.46439475556099,674.502111111111
Greece,Total oil production,4538.612,0.0,3255.21975,4241.1335,2178.4248302716924,-4.6177902532915205,-5.836575875486383,5.5729020249695775,1680.9153125000003
Greece,Total oil products production,10300.76,0.0,2951.1296428571427,2734.3405000000002,3437.4532287139164,-15.668237604877389,-5.836575875486383,33.31615434993581,1551.178511904762
Hungary,Crude oil,1960.0,-19.0,986.4285714285714,1087.5,913.5213201567616,-12.591430681343796,-5.836575875486383,35.60742158650629,897.1829166666666
Hungary,Gasoline and diesel,3886.5,279.0,1497.1666666666667,326.0,2069.3568042590755,-27.270667418305568,-5.836575875486383,57.89030961997889,1028.6929444444443
Hungary,Liquified Petroleum Gas,500.0,32.0,188.0,32.0,270.19992598074487,-33.1455252918288,-5.836575875486383,52.43638086928064,592.3040555555555
Hungary,Middle distillates,983.0,1.0,634.875,777.75,434.7317899195625,2.9499773962862976,-5.836575875486383,20.248366036550546,807.3837291666666
Hungary,Naphtha,1002.0,67.0,388.0,95.0,531.9238667328249,-41.94307405395367,-29.47368421052632,43.69657761710108,658.9707222222222
Hungary,Other oil products,655.0,33.0,244.33333333333334,45.0,355.69837409430664,-21.478257190972915,-5.836575875486383,67.04544212713853,611.0818333333333
Hungary,Residual fuel oil,31.0,0.0,13.714285714285714,5.0,15.660079668957476,-18.54255948645305,-5.836575875486383,35.98865607079949,572.0400595238095
Hungary,Total gas oil production,1504.5,0.0,496.14285714285717,540.0,506.31715310051413,-13.348166746256878,-5.836575875486383,34.92463925832189,732.8495833333333
Hungary,Total kerosene production,200.0,21.0,83.33333333333333,29.0,101.11544557254017,-19.08044592674943,-5.836575875486383,64.82041550774093,557.4151666666666
Hungary,Total oil production,3775.0,-1.0,2671.375,3455.75,1788.5609380635221,-0.2041816801288454,-1.203791984836644,6.705451105327497,1486.3837291666666
Hungary,Total oil products production,7753.0,18.0,2007.5714285714287,1554.0,2620.600876207774,-12.570549083102941,-5.836575875486383,36.47518288766976,1235.8019642857143
Iceland,Crude oil,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,567.468630952381
Iceland,Gasoline and diesel,371.43600000000004,20.06,138.42100000000002,23.767,201.80542146087157,-38.34505095241337,-15.597256700467032,48.101550886125544,575.7777222222222
Iceland,Liquified Petroleum Gas,2.686,0.136,1.0246666666666666,0.252,1.4399254610337762,-47.495447088958336,-46.031746031746025,42.409669951591894,529.9789444444444
Iceland,Middle distillates,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,595.8420624999999
Iceland,Naphtha,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,529.6373888888888
Iceland,Other oil products,10.198,0.152,3.504666666666667,0.164,5.796599807933383,-32.15045023411194,-5.836575875486383,57.87729272453922,530.805611111111
Iceland,Residual fuel oil,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,567.468630952381
Iceland,Total gas oil production,105.619,0.0,16.96257142857143,0.0,39.220335447558924,-12.441535906177416,-5.836575875486383,39.629923070675524,573.1228214285713
Iceland,Total kerosene production,160.58100000000002,16.263,65.495,19.641,82.36421108709777,-36.93469414263938,-17.198716969604387,44.38866417203008,551.4690555555554
Iceland,Total oil production,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,595.8420624999999
Iceland,Total oil products production,650.52,0.0,106.2962857142857,0.0,240.99564114779773,-18.86112664561164,-5.836575875486383,32.47876835561628,602.9007261904761
Ireland,Crude oil,213.175,0.0,73.99628571428572,2.37,94.76410615261858,-6.614042719511935,-5.836575875486383,18.031542114307666,592.0212023809523
Ireland,Gasoline and diesel,3791.115,290.704,1468.1063333333332,322.5,2011.847334034154,-35.72968949780011,-9.85922480620155,48.334541746910325,1019.0061666666666
Ireland,Liquified Petroleum Gas,161.586,17.094,65.331,17.313,83.35934716035149,-31.325512603196305,-5.836575875486383,50.4379779315731,551.4143888888888
Ireland,Middle distillates,1093.949,12.537,777.02,1000.797,511.65901796280957,-0.8792543379234801,-4.230772714990561,7.9196285847609245,853.8039791666666
Ireland,Naphtha,0.41900000000000004,0.0,0.1396666666666667,0.0,0.2419097627904532,-37.224383916990924,-5.836575875486383,54.36527826610484,529.6839444444444
Ireland,Other oil products,499.10350000000005,40.684,193.49050000000003,40.684,264.66862172677367,-32.56172012917215,-5.836575875486383,51.42679866325647,594.1342222222222
Ireland,Residual fuel oil,293.60900000000004,9.266,90.93900000000001,79.101,95.15594242960692,-24.484655658198005,-5.836575875486383,41.934030832478456,596.2566309523809
Ireland,Total gas oil production,648.297,-4.207,183.91542857142855,166.584,216.7597088681821,-15.847728007011327,-5.836575875486383,33.29846874757955,628.9741071428571
Ireland,Total kerosene production,1511.589,177.184,626.963,192.116,766.1449673939,-33.633141319892694,-7.772387515875834,46.47868084802073,738.6250555555556
Ireland,Total oil production,1497.844,45.824,1122.39225,1472.9505,717.8813199001513,-2.483072205477896,-3.330079819941872,4.111906396904856,966.1541458333332
Ireland,Total oil products production,6905.7185,43.454,1734.9047857142855,1284.669,2330.0138240000824,-16.186454283756355,-5.836575875486383,33.09947586256726,1143.700988095238
Israel,Crude oil,168.0,0.0,28.0,0.0,62.08596191303367,-17.264220863442652,-5.836575875486383,32.88042125991602,576.8019642857142
Israel,Gasoline and diesel,3491.0,277.0,1363.0,321.0,1843.0333692041497,-36.78288931318262,-13.70716510903427,46.94967472681217,983.9707222222222
Israel,Liquified Petroleum Gas,584.0,44.0,226.66666666666666,52.0,309.4855947105347,-37.43902722368689,-15.384615384615385,46.71279792455374,605.1929444444444
Israel,Middle distillates,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,595.8420624999999
Israel,Naphtha,407.5,42.0,163.83333333333334,42.0,211.02152338880822,-31.843275803076242,-5.836575875486383,50.18447143805113,584.2484999999999
Israel,Other oil products,541.5,46.0,211.16666666666666,46.0,286.0770583834596,-32.44721812039143,-5.836575875486383,51.22879617639594,600.0262777777778
Israel,Residual fuel oil,509.5,0.0,85.07142857142857,0.0,188.2578968178645,-19.02827119492909,-5.836575875486383,31.8374933695007,595.8257738095238
Israel,Total gas oil production,3346.0,0.0,556.5714285714286,0.0,1236.8370759242919,-17.67313549781667,-5.836575875486383,32.6446436539473,752.9924404761904
Israel,Total kerosene production,932.0,86.0,373.6666666666667,103.0,483.605555523645,-37.09664269949857,-16.504854368932044,45.22072758959088,654.1929444444444
Israel,Total oil production,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,595.8420624999999
Israel,Total oil products production,9811.5,0.0,1643.7857142857142,0.0,3623.7933377556046,-18.49405947587482,-5.836575875486383,31.97192094865384,1115.3972023809524
Italy,Crude oil,6926.404,15.268,3797.815357142857,5454.4085,3334.2183992066857,-15.64643697233807,-5.836575875486383,34.13192431731642,1832.6800357142856
Italy,Gasoline and diesel,26613.4125,2190.334,10356.770166666667,2266.564,14078.71683494874,-33.56106449453153,-5.836575875486383,50.17743581185689,3981.894111111111
Italy,Liquified Petroleum Gas,2894.429,294.613,1166.3590000000002,310.035,1496.5723848835376,-30.141096548664095,-5.836575875486383,51.980237034389766,918.4237222222222
Italy,Middle distillates,4774.11,128.733,3612.410375,4773.39925,2322.451622175705,-2.9128907532807946,-2.914192598239551,3.3759814540183517,1789.2511041666667
Italy,Naphtha,3517.51,154.949,1306.3253333333334,246.517,1915.4893362356088,-45.32433146965899,-37.14469995984049,44.14956968546389,965.0791666666668
Italy,Other oil products,4103.562,280.499,1559.2476666666669,293.682,2203.450706954057,-31.433745632811707,-5.836575875486383,53.71934929857038,1049.386611111111
Italy,Residual fuel oil,1364.939,50.357,750.7481428571429,966.484,621.9743066765778,-18.861558730181027,-5.836575875486383,34.67138772704226,808.9287738095237
Italy,Total gas oil production,7598.1435,-86.843,1922.9377142857143,1536.298,2576.938706868447,-14.743298833928852,-5.836575875486383,34.11968598993869,1212.58325
