country,iso_code,primary_energy_consumption_max,primary_energy_consumption_min,primary_energy_consumption_mean,primary_energy_consumption_median,primary_energy_consumption_std,energy_per_capita_mean,energy_per_capita_median,energy_per_capita_std,fossil_share_energy_mean,renewables_share_energy_mean,energy_transition_index_mean
Saint Vincent and the Grenadines,VCT,1.387,0.225,0.7021904761904763,0.7705,0.33796566704653114,6390.011452380953,6771.676,3143.2242565740703,,,
Samoa,WSM,1.631,0.438,0.9317857142857142,0.9610000000000001,0.39075652301496594,4908.688738095238,5201.8375,1671.5910089770698,,,
Sao Tome and Principe,STP,0.739,0.137,0.3934047619047619,0.358,0.19497280104543535,2423.2233095238093,2542.9435,696.6269949337759,,,
Saudi Arabia,SAU,3193.319,235.14,1195.7045447154474,1066.428,699.1115003046255,60751.49252439025,59421.7655,11933.964887445769,100.0,0.0,0.0
Senegal,SEN,44.056,9.617,21.665214285714285,20.801000000000002,10.522416367985748,1996.1283809523807,2071.2690000000002,373.8802686157601,,,
Serbia,SRB,205.23,169.549,196.1495909090909,196.8125,6.06761621934242,26074.996681818182,26270.658499999998,806.9924639111591,,,
Seychelles,SYC,5.267,0.687,3.0839999999999996,3.5185,1.4389078514199751,35663.59690476191,38528.5035,13017.1130803648,,,
Sierra Leone,SLE,5.306,1.876,3.494880952380952,3.543,0.8141076576012073,692.5574761904762,705.992,217.43560284932792,,,
Singapore,SGP,950.833,47.888,401.9438793103448,349.64750000000004,309.2301231947744,93868.92917241379,101148.414,45768.70887176736,99.79867241379311,0.20132758620689659,0.002017347479037081
Slovakia,SVK,248.354,106.836,197.7548448275862,207.082,33.914933656212945,38282.32296551724,39107.259999999995,5527.780604343908,81.5676724137931,5.556620689655173,0.07314255963436504
Slovenia,SVN,93.642,64.881,79.38169696969697,80.156,6.300285248923503,39027.334484848485,39508.945,3098.3173169678653,66.71230303030302,14.99260606060606,0.22727136864995895
Solomon Islands,SLB,1.621,0.432,1.026904761904762,1.0805,0.3887970697422832,2280.6745476190476,2225.1895,380.6427461022392,,,
Somalia,SOM,5.915,2.253,3.6145476190476193,3.4105,1.0294972773245126,421.822880952381,320.322,230.44351511921025,,,
South Africa,ZAF,1481.871,354.229,1033.5271747967479,1055.8045,258.6035228808399,24848.53541463415,25337.04,2114.322420262952,97.40282113821137,0.5983373983739837,0.006183181409977631
South Korea,KOR,3530.013,74.817,1594.0421422764227,1549.5275,854.3967277498609,34470.67542276422,34393.123,16398.688099753064,86.01335772357723,0.810219512195122,0.009435164922469033
South Sudan,SSD,8.004,5.969,7.1505909090909086,7.2204999999999995,0.6900394488064366,663.3545909090909,685.0715,67.30000041115089,,,
Spain,ESP,1846.826,337.407,1176.6705284552843,1166.9099999999999,303.4731630067422,29126.471926829272,29607.031000000003,5747.056500195814,80.24448780487805,10.894321138211383,0.13740187156907055
